ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,long,tense,approx,dors
ʔ̟,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔᵊ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ˈʔ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔᵗ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ˌʔ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔ̾,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔᶻ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ˀʔ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔ̚,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔᵈ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʰ̵ʔ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔᵍ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ᵈ̵ʔ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔ͉,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔʼ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔ̪,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔ̠,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ᵇ̵ʔ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,0,0,0,0,0,0,0,-,0
ʔʼʲ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,+,0,-,0,0,0,0,-,0
ʔʲ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,+,0,-,0,0,0,0,-,0
ʔʲʼ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,+,0,-,0,0,0,0,-,0
ʔˠ,-,-,-,-,0,0,0,0,-,-,+,0,0,0,0,+,0,+,0,0,0,0,-,0
